"Precision.Global","Error.Global","Precision.Positiva","Precision.Negativa","Falsos.Positivos","Falsos.Negativos","Asertividad.Positiva","Asertividad.Negativa"
0.976135488837567,0.0238645111624326,0.940993788819876,0.987717502558854,0.0122824974411464,0.0590062111801242,0.999959465347939,0.999938857405816
0.99153194765204,0.00846805234796,0.978260869565217,0.995905834186285,0.00409416581371546,0.0217391304347826,0.999987002817139,0.999977658124623
0.99153194765204,0.00846805234796,0.978260869565217,0.995905834186285,0.00409416581371546,0.0217391304347826,0.999987002817139,0.999977658124623
0.992301770592764,0.0076982294072363,0.981366459627329,0.995905834186285,0.00409416581371546,0.0186335403726708,0.999987043946932,0.999980849759984
0.993846153846154,0.00615384615384618,0.987421383647799,0.995926680244399,0.00407331975560081,0.0125786163522013,0.99998702781237,0.999987138594506
0.993846153846154,0.00615384615384618,0.987421383647799,0.995926680244399,0.00407331975560081,0.0125786163522013,0.99998702781237,0.999987138594506
0.993846153846154,0.00615384615384618,0.987421383647799,0.995926680244399,0.00407331975560081,0.0125786163522013,0.99998702781237,0.999987138594506
0.993846153846154,0.00615384615384618,0.987421383647799,0.995926680244399,0.00407331975560081,0.0125786163522013,0.99998702781237,0.999987138594506
0.993846153846154,0.00615384615384618,0.987421383647799,0.995926680244399,0.00407331975560081,0.0125786163522013,0.99998702781237,0.999987138594506
0.993846153846154,0.00615384615384618,0.987421383647799,0.995926680244399,0.00407331975560081,0.0125786163522013,0.99998702781237,0.999987138594506
0.996923076923077,0.00307692307692309,0.990566037735849,0.9989816700611,0.0010183299389002,0.00943396226415094,0.999996767216994,0.999990383413311
0.993846153846154,0.00615384615384618,0.987421383647799,0.995926680244399,0.00407331975560081,0.0125786163522013,0.99998702781237,0.999987138594506
0.993846153846154,0.00615384615384618,0.987421383647799,0.995926680244399,0.00407331975560081,0.0125786163522013,0.99998702781237,0.999987138594506
